,TILL_NR,ORG.NR/PERS.NR,NAVN,ADRESSE,POSTNR,POSTSTED,TILDELINGSTIDSPUNKT,TIDSBEGRENSET,TILL_KOMNR,TILL_KOM,FORMÅL,PRODUKSJONSFORM,ART,TILL_KAP,TILL_ENHET,LOK_NR,LOK_NAVN,LOK_KOMNR,LOK_KOM,LOK_PLASS,VANNMILJØ,LOK_KAP,LOK_ENHET,N_GEOWGS84,Ø_GEOWGS84,PROD_OMR
357,F A 0032,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,23.04.1990,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,27015,KJØSEN,5432,LOPPA,SJØ,SALTVANN,"2 700,00",TN,70.140517,22.24615,12.0
360,F A 0032,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,23.04.1990,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,37557,DAVATLUFT,5403,ALTA,SJØ,SALTVANN,"5 670,00",TN,70.245383,22.87385,12.0
363,F A 0032,980361306.0,GRIEG SEAFOOD FINNMARK AS,MARKVEIEN 38B,9510,ALTA,23.04.1990,,5403,ALTA,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,"974,00",TN,15460,LAHOLMEN,5435,NORDKAPP,SJØ,SALTVANN,"7 095,00",TN,70.89355,25.55705,12.0
366,F A 0034,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,16.02.1991,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 051,00",TN,10614,KRÅKEVIK,5403,ALTA,SJØ,SALTVANN,"4 424,00",TN,70.263017,23.306217,12.0
369,F A 0034,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,16.02.1991,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 051,00",TN,34577,ENKENESET,5406,HAMMERFEST,SJØ,SALTVANN,"3 120,00",TN,70.56365,24.119067,12.0
372,F A 0034,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,16.02.1991,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 051,00",TN,32617,YTRE KOVEN,5403,ALTA,SJØ,SALTVANN,"5 670,00",TN,70.1421,22.89265,12.0
375,F A 0034,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,16.02.1991,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 051,00",TN,24535,STORHOLMEN,5403,ALTA,SJØ,SALTVANN,"5 400,00",TN,70.3414,23.39285,12.0
378,F A 0034,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,16.02.1991,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 051,00",TN,10791,NORDNES,5403,ALTA,SJØ,SALTVANN,"3 480,00",TN,70.286367,23.400283,12.0
381,F A 0036,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,17.03.1993,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 051,00",TN,10822,RIVARBUKT,5403,ALTA,SJØ,SALTVANN,"3 480,00",TN,70.085867,22.6618,12.0
384,F A 0036,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,17.03.1993,,5403,ALTA,KOMMERSIELL,MATFISK,Laks,"1 051,00",TN,10276,SOMMARBUKT,5403,ALTA,SJØ,SALTVANN,"2 580,00",TN,70.077333,22.66705,12.0
