LOK_NAVN,LOK_NR,TILL_NR,ORG.NR/PERS.NR,NAVN,ADRESSE,POSTNR,POSTSTED,TILDELINGSTIDSPUNKT,TIDSBEGRENSET,TILL_KOMNR,TILL_KOM,FORMÅL,PRODUKSJONSFORM,ART,TILL_KAP,TILL_ENHET,LOK_KOMNR,LOK_KOM,LOK_PLASS,VANNMILJØ,LOK_KAP,LOK_ENHET,N_GEOWGS84,Ø_GEOWGS84,PROD_OMR
ANDHOLMEN 1,32277,M VS0020,983506925.0,BENCHMARK GENETICS NORWAY AS,BRADBENKEN 1,5003,BERGEN,13.05.2015,25.03.2025,1535,VESTNES,FORSKNING,MATFISK,Laks,780.00,TN,1573,SMØLA,SJØ,SALTVANN,5460.00,TN,63.469217,7.8523,
ANEVIK,30156,N HM0009,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,05.08.1986,,1875,HAMARØY,KOMMERSIELL,MATFISK-GRØNN KONVERTERT,Laks,812.00,TN,1848,STEIGEN,SJØ,SALTVANN,5400.00,TN,68.005917,15.264333,9.0
ANEVIK,30156,N HM0018,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,25.06.2019,,1875,HAMARØY,KOMMERSIELL,MATFISK-GRØNN C,Laks,796.00,TN,1848,STEIGEN,SJØ,SALTVANN,5400.00,TN,68.005917,15.264333,9.0
ANEVIK,30156,N HM0019,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,20.02.2020,20.02.2030,1875,HAMARØY,VISNING,MATFISK,Laks,780.00,TN,1848,STEIGEN,SJØ,SALTVANN,5400.00,TN,68.005917,15.264333,
ANEVIK,30156,N HM0020,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,24.09.2020,,1875,HAMARØY,KOMMERSIELL,MATFISK,Laks,1202.00,TN,1848,STEIGEN,SJØ,SALTVANN,5400.00,TN,68.005917,15.264333,9.0
ANEVIK,30156,N SG0003,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,14.08.1973,,1848,STEIGEN,KOMMERSIELL,MATFISK,Laks,812.00,TN,1848,STEIGEN,SJØ,SALTVANN,5400.00,TN,68.005917,15.264333,9.0
ANEVIK,30156,N SG0005,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,01.09.1983,,1848,STEIGEN,KOMMERSIELL,MATFISK,Laks,812.00,TN,1848,STEIGEN,SJØ,SALTVANN,5400.00,TN,68.005917,15.264333,9.0
ANEVIK,30156,N SG0014,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,29.06.1988,,1848,STEIGEN,KOMMERSIELL,MATFISK,Laks,812.00,TN,1848,STEIGEN,SJØ,SALTVANN,5400.00,TN,68.005917,15.264333,9.0
ANEVIK,30156,N SG0041,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,18.08.2014,,1848,STEIGEN,KOMMERSIELL,MATFISK-GRØNN B,Laks,812.00,TN,1848,STEIGEN,SJØ,SALTVANN,5400.00,TN,68.005917,15.264333,9.0
ANEVIK,30156,N SG0042,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,18.08.2014,,1848,STEIGEN,KOMMERSIELL,MATFISK-GRØNN B,Laks,812.00,TN,1848,STEIGEN,SJØ,SALTVANN,5400.00,TN,68.005917,15.264333,9.0
ANEVIK,30156,N SG0043,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,18.08.2014,,1848,STEIGEN,KOMMERSIELL,MATFISK-GRØNN B,Laks,812.00,TN,1848,STEIGEN,SJØ,SALTVANN,5400.00,TN,68.005917,15.264333,9.0
ANEVIK,30156,N SG0044,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,18.08.2014,,1848,STEIGEN,KOMMERSIELL,MATFISK-GRØNN B,Laks,812.00,TN,1848,STEIGEN,SJØ,SALTVANN,5400.00,TN,68.005917,15.264333,9.0
ANEVIK,30156,N SG0045,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,18.08.2014,,1848,STEIGEN,KOMMERSIELL,MATFISK-GRØNN B,Laks,812.00,TN,1848,STEIGEN,SJØ,SALTVANN,5400.00,TN,68.005917,15.264333,9.0
ANEVIK,30156,N SG0049,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,10.09.2018,,1848,STEIGEN,KOMMERSIELL,MATFISK,Laks,781.00,TN,1848,STEIGEN,SJØ,SALTVANN,5400.00,TN,68.005917,15.264333,9.0
ANEVIK,30156,N SG0050,961922976.0,CERMAQ NORWAY AS,NORDFOLDVEIEN 165,8286,NORDFOLD,10.09.2018,,1848,STEIGEN,KOMMERSIELL,MATFISK,Laks,781.00,TN,1848,STEIGEN,SJØ,SALTVANN,5400.00,TN,68.005917,15.264333,9.0
ANGELSKÅR,13563,H AV0098,886813082.0,LERØY VEST AS,SKIPAVIKA 54,5397,BEKKJARVIK,15.10.2018,15.10.2028,4625,AUSTEVOLL,VISNING,MATFISK,Laks,780.00,TN,4630,OSTERØY,SJØ,SALTVANN,4680.00,TN,60.523333,5.352617,
ANGELSKÅR,13563,H OR0003,929363833.0,SJØTROLL HAVBRUK AS,SKIPAVIKA 54,5397,BEKKJARVIK,05.08.1973,,4630,OSTERØY,KOMMERSIELL,MATFISK,Laks,733.00,TN,4630,OSTERØY,SJØ,SALTVANN,4680.00,TN,60.523333,5.352617,4.0
